Date, Close, Open, High, Low, ZigZag Value, ZigZag Length, ZigZag Pips, ZigZag Deg, Volumes
2015.07.14 01:40, 1.10091, 1.10077, 1.10128, 1.10067, 1.10128, 59.00000, 39, 33.53, 189.00000
2015.07.14 02:05, 1.09733, 1.09852, 1.09890, 1.09657, 1.09657, 5.00000, -47, 83.94, 715.00000
2015.07.14 08:30, 1.10548, 1.10807, 1.10836, 1.10513, 1.10836, 77.00000, 118, 56.85, 872.00000
2015.07.15 01:25, 1.09894, 1.09911, 1.09911, 1.09869, 1.09869, 203.00000, -97, 25.47, 169.00000
2015.07.15 04:05, 1.10287, 1.10291, 1.10355, 1.10274, 1.10355, 32.00000, 49, 56.64, 283.00000
2015.07.16 08:55, 1.08567, 1.08698, 1.08766, 1.08553, 1.08553, 346.00000, -180, 27.51, 431.00000
2015.07.17 03:30, 1.09002, 1.09041, 1.09070, 1.09000, 1.09070, 223.00000, 52, 13.05, 236.00000
2015.07.19 23:05, 1.08211, 1.08231, 1.08231, 1.08204, 1.08204, 235.00000, -87, 20.23, 87.00000
2015.07.20 11:05, 1.08584, 1.08659, 1.08700, 1.08584, 1.08700, 144.00000, 50, 19.01, 298.00000
2015.07.20 16:35, 1.08189, 1.08251, 1.08253, 1.08082, 1.08082, 66.00000, -62, 43.12, 346.00000
2015.07.21 13:00, 1.09632, 1.09593, 1.09684, 1.09570, 1.09684, 245.00000, 160, 33.18, 467.00000
2015.07.21 23:05, 1.09264, 1.09314, 1.09315, 1.09239, 1.09239, 121.00000, -45, 20.19, 209.00000
2015.07.22 02:35, 1.09582, 1.09563, 1.09669, 1.09540, 1.09669, 42.00000, 43, 45.67, 343.00000
2015.07.22 12:05, 1.08759, 1.08746, 1.08770, 1.08696, 1.08696, 114.00000, -97, 40.48, 227.00000
2015.07.23 08:15, 1.10122, 1.09994, 1.10177, 1.09980, 1.10177, 242.00000, 148, 31.47, 480.00000
2015.07.24 02:05, 1.09739, 1.09681, 1.09751, 1.09637, 1.09637, 214.00000, -54, 14.16, 194.00000
2015.07.24 02:55, 1.09902, 1.09870, 1.09956, 1.09870, 1.09956, 10.00000, 32, 72.59, 274.00000
2015.07.24 07:55, 1.09337, 1.09297, 1.09337, 1.09252, 1.09252, 60.00000, -70, 49.56, 223.00000
2015.07.27 11:40, 1.11209, 1.11184, 1.11294, 1.11141, 1.11294, 333.00000, 204, 31.52, 364.00000
2015.07.28 07:45, 1.10280, 1.10245, 1.10285, 1.10221, 1.10221, 241.00000, -107, 24.00, 188.00000
2015.07.28 21:35, 1.10826, 1.10804, 1.10840, 1.10804, 1.10840, 166.00000, 62, 20.45, 97.00000
2015.07.29 11:05, 1.10150, 1.10298, 1.10316, 1.10106, 1.10106, 162.00000, -73, 24.37, 510.00000
2015.07.29 14:00, 1.10332, 1.10470, 1.10793, 1.10314, 1.10793, 35.00000, 69, 63.00, 1430.00000
2015.07.30 12:25, 1.08985, 1.08986, 1.08996, 1.08932, 1.08932, 269.00000, -186, 34.68, 266.00000
2015.07.31 02:40, 1.09603, 1.09582, 1.09673, 1.09561, 1.09673, 171.00000, 74, 23.43, 297.00000
2015.07.31 03:40, 1.09240, 1.09313, 1.09317, 1.09211, 1.09211, 12.00000, -46, 75.44, 280.00000
2015.07.31 09:15, 1.11048, 1.11042, 1.11139, 1.10990, 1.11139, 67.00000, 193, 70.84, 569.00000
2015.08.03 03:05, 1.09887, 1.09872, 1.09958, 1.09851, 1.09958, 214.00000, -118, 28.89, 327.00000
2015.08.03 20:30, 1.09342, 1.09373, 1.09377, 1.09323, 1.09323, 209.00000, -64, 16.90, 163.00000
2015.08.04 07:45, 1.09869, 1.09842, 1.09875, 1.09837, 1.09875, 135.00000, 55, 22.24, 94.00000
2015.08.05 06:00, 1.08519, 1.08580, 1.08580, 1.08480, 1.08480, 267.00000, -140, 27.59, 200.00000
2015.08.06 02:00, 1.09289, 1.09256, 1.09435, 1.09256, 1.09435, 240.00000, 96, 21.70, 497.00000
2015.08.06 08:30, 1.08843, 1.08875, 1.08900, 1.08733, 1.08733, 78.00000, -70, 41.99, 374.00000
2015.08.06 12:15, 1.09299, 1.09328, 1.09356, 1.09299, 1.09356, 45.00000, 62, 54.16, 256.00000
2015.08.07 02:25, 1.09113, 1.09082, 1.09113, 1.09069, 1.09069, 170.00000, -29, 9.58, 100.00000
2015.08.07 08:25, 1.09495, 1.09375, 1.09744, 1.09353, 1.09744, 72.00000, 68, 43.15, 894.00000
2015.08.07 09:15, 1.08640, 1.08644, 1.08688, 1.08553, 1.08553, 10.00000, -119, 85.20, 440.00000
2015.08.10 03:30, 1.09771, 1.09774, 1.09809, 1.09752, 1.09809, 219.00000, 126, 29.83, 206.00000
2015.08.10 07:00, 1.09265, 1.09322, 1.09323, 1.09251, 1.09251, 42.00000, -56, 53.03, 130.00000
2015.08.10 13:25, 1.10342, 1.10359, 1.10413, 1.10335, 1.10413, 77.00000, 116, 56.47, 232.00000
2015.08.11 01:55, 1.09695, 1.09622, 1.09697, 1.09605, 1.09605, 150.00000, -81, 28.31, 190.00000
2015.08.12 11:15, 1.12092, 1.12028, 1.12138, 1.11950, 1.12138, 400.00000, 253, 32.34, 479.00000
2015.08.13 08:40, 1.10862, 1.10940, 1.10949, 1.10801, 1.10801, 257.00000, -134, 27.48, 346.00000
2015.08.14 03:10, 1.11613, 1.11589, 1.11714, 1.11573, 1.11714, 222.00000, 91, 22.36, 390.00000
2015.08.14 03:50, 1.11321, 1.11352, 1.11367, 1.11239, 1.11239, 8.00000, -48, 80.44, 378.00000
2015.08.14 07:20, 1.11867, 1.11874, 1.11888, 1.11847, 1.11888, 42.00000, 65, 57.09, 161.00000
2015.08.17 03:10, 1.10685, 1.10721, 1.10722, 1.10625, 1.10625, 238.00000, -126, 27.95, 345.00000
2015.08.17 08:35, 1.11242, 1.11138, 1.11248, 1.11120, 1.11248, 65.00000, 62, 43.78, 312.00000
2015.08.18 00:45, 1.10545, 1.10557, 1.10567, 1.10514, 1.10514, 194.00000, -73, 20.72, 114.00000
